ticker,execution price,predict price,Friday close,%change,buy price,sell price,score
AAV,,,,,,,
ARE,,,,,,,
AEM,,,,,,,
AC,,,,,,,
ASR,,,,,,,
AGI,,,,,,,
AD,,,,,,,
AQN,,,,,,,
ATD-B,,,,,,,
AP-UN,,,,,,,
ALA,,,,,,,
AIF,,,,,,,
APH,,,,,,,
ARX,,,,,,,
AX-UN,,,,,,,
ACO-X,,,,,,,
ATA,,,,,,,
ACB,,,,,,,
BTO,,,,,,,
BAD,,,,,,,
BMO,,,,,,,
BNS,,,,,,,
ABX,,,,,,,
BHC,,,,,,,
BTE,,,,,,,
BCE,,,,,,,
BIR,,,,,,,
BB,,,,,,,
BEI-UN,,,,,,,
BBD-B,,,,,,,
BLX,,,,,,,
BYD-UN,,,,,,,
BAM-A,,,,,,,
BBU-UN,,,,,,,
BIP-UN,,,,,,,
BPY-UN,,,,,,,
BEP-UN,,,,,,,
DOO,,,,,,,
CAE,,,,,,,
CCO,,,,,,,
GOOS,,,,,,,
CAR-UN,,,,,,,
CM,,,,,,,
CNR,,,,,,,
CNQ,,,,,,,
CP,,,,,,,
CTC-A,,,,,,,
CU,,,,,,,
CWB,,,,,,,
CFP,,,,,,,
WEED,,,,,,,
CPX,,,,,,,
CAS,,,,,,,
CCL-B,,,,,,,
CLS,,,,,,,
CVE,,,,,,,
CG,,,,,,,
CEU,,,,,,,
GIB-A,,,,,,,
CSH-UN,,,,,,,
CHE-UN,,,,,,,
CHP-UN,,,,,,,
CHR,,,,,,,
CIX,,,,,,,
CGX,,,,,,,
CCA,,,,,,,
CIGI,,,,,,,
CUF-UN,,,,,,,
CMG,,,,,,,
CSU,,,,,,,
BCB,,,,,,,
CPG,,,,,,,
CRR-UN,,,,,,,
DSG,,,,,,,
DGC,,,,,,,
DOL,,,,,,,
DII-B,,,,,,,
DRG-UN,,,,,,,
D-UN,,,,,,,
ECN,,,,,,,
ELD,,,,,,,
EFN,,,,,,,
EMA,,,,,,,
EMP-A,,,,,,,
ENB,,,,,,,
ECA,,,,,,,
EDV,,,,,,,
EFX,,,,,,,
ERF,,,,,,,
ENGH,,,,,,,
ESI,,,,,,,
EIF,,,,,,,
EXE,,,,,,,
FFH,,,,,,,
FTT,,,,,,,
FCR,,,,,,,
FR,,,,,,,
FM,,,,,,,
FSV,,,,,,,
FTS,,,,,,,
FVI,,,,,,,
FNV,,,,,,,
FRU,,,,,,,
MIC,,,,,,,
WN,,,,,,,
GEI,,,,,,,
GIL,,,,,,,
G,,,,,,,
GTE,,,,,,,
GRT-UN,,,,,,,
GC,,,,,,,
GWO,,,,,,,
GUY,,,,,,,
HR-UN,,,,,,,
HCG,,,,,,,
HBM,,,,,,,
HBC,,,,,,,
HSE,,,,,,,
H,,,,,,,
IMG,,,,,,,
IGM,,,,,,,
IMO,,,,,,,
IAG,,,,,,,
INE,,,,,,,
IFC,,,,,,,
IPL,,,,,,,
IFP,,,,,,,
ITP,,,,,,,
IIP-UN,,,,,,,
IVN,,,,,,,
KEL,,,,,,,
KEY,,,,,,,
KMP-UN,,,,,,,
KXS,,,,,,,
KML,,,,,,,
K,,,,,,,
KL,,,,,,,
GUD,,,,,,,
LIF,,,,,,,
LB,,,,,,,
LNR,,,,,,,
L,,,,,,,
LUC,,,,,,,
LUN,,,,,,,
MAG,,,,,,,
MG,,,,,,,
MFC,,,,,,,
MFI,,,,,,,
MRE,,,,,,,
MAXR,,,,,,,
MEG,,,,,,,
MX,,,,,,,
MRU,,,,,,,
MNW,,,,,,,
MSI,,,,,,,
MTY,,,,,,,
MTL,,,,,,,
NA,,,,,,,
NSU,,,,,,,
NFI,,,,,,,
NGD,,,,,,,
NXE,,,,,,,
OSB,,,,,,,
NPI,,,,,,,
NVU-UN,,,,,,,
NG,,,,,,,
NTR,,,,,,,
NVA,,,,,,,
OGC,,,,,,,
ONEX,,,,,,,
OTEX,,,,,,,
OR,,,,,,,
PAAS,,,,,,,
POU,,,,,,,
PXT,,,,,,,
PKI,,,,,,,
PSI,,,,,,,
PPL,,,,,,,
PEY,,,,,,,
POW,,,,,,,
PWF,,,,,,,
PSK,,,,,,,
PD,,,,,,,
PBH,,,,,,,
PVG,,,,,,,
QBR-B,,,,,,,
QSR,,,,,,,
RCH,,,,,,,
REI-UN,,,,,,,
RBA,,,,,,,
RCI-B,,,,,,,
RY,,,,,,,
RUS,,,,,,,
SSL,,,,,,,
SAP,,,,,,,
SES,,,,,,,
SMF,,,,,,,
VII,,,,,,,
SJR-B,,,,,,,
SCL,,,,,,,
SHOP,,,,,,,
SIA,,,,,,,
SW,,,,,,,
ZZZ,,,,,,,
SRU-UN,,,,,,,
SNC,,,,,,,
TOY,,,,,,,
SSRM,,,,,,,
STN,,,,,,,
SJ,,,,,,,
SLF,,,,,,,
SU,,,,,,,
SPB,,,,,,,
THO,,,,,,,
TVE,,,,,,,
TECK-B,,,,,,,
T,,,,,,,
TFII,,,,,,,
NWC,,,,,,,
TSGI,,,,,,,
TRI,,,,,,,
X,,,,,,,
TOG,,,,,,,
TXG,,,,,,,
TIH,,,,,,,
TD,,,,,,,
TOU,,,,,,,
TA,,,,,,,
RNW,,,,,,,
TRP,,,,,,,
TCL-A,,,,,,,
TCW,,,,,,,
TCN,,,,,,,
TRQ,,,,,,,
UNS,,,,,,,
VET,,,,,,,
WCN,,,,,,,
WFT,,,,,,,
WEF,,,,,,,
WJA,,,,,,,
WTE,,,,,,,
WPM,,,,,,,
WCP,,,,,,,
WPK,,,,,,,
WSP,,,,,,,
YRI,,,,,,,
